Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.39;0.61;0.92;0.93;0.82;0.82;1.02;0.66;0.81;1.21;1.22;0.89;3.01
Price/Earnings;4.41;25.53;36.44;31.86;22.21;20.03;20.81;12.49;20.55;55.94;25.25;22.03;25.53
Price/Cash Flow;14.22;17.15;219.83;14.65;13.90;12.12;17.99;8.84;10.22;20.59;18.93;12.72;17.03
Price/Book;1.69;2.91;3.38;3.91;3.62;3.50;6.20;3.62;4.78;2.30;2.62;3.94;4.19
Price/Forward Earnings;10.33;15.70;20.37;16.58;14.35;13.61;17.33;10.79;20.75;18.32;17.79;15.77;—
PEG Ratio;1.06;3.93;5.09;1.18;0.96;1.13;1.51;1.09;2.07;1.99;1.78;1.52;—
Earnings Yield %;22.68;3.92;2.74;3.14;4.50;4.99;4.80;8.01;4.87;1.79;3.96;4.96;—
Enterprise Value (Bil);1.07;2.32;4.03;4.10;3.57;3.73;4.63;3.38;4.12;5.06;5.83;3.95;—
Enterprise Value/EBIT;3.54;14.19;19.37;19.06;17.78;15.61;16.17;12.34;16.65;30.12;20.74;16.40;—
Enterprise Value/EBITDA;2.99;9.95;13.59;11.79;11.42;10.84;11.89;9.27;12.18;19.14;14.11;11.57;—
