Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.13;1.01;0.82;0.97;0.44;0.62;0.60;0.80;1.10;0.96;1.07;0.79;3.01
Price/Earnings;13.80;12.35;13.32;21.61;12.77;18.62;16.54;11.46;14.01;12.12;9.43;14.49;25.53
Price/Cash Flow;28.48;30.03;—;23.07;13.64;—;21.77;60.43;40.25;—;48.68;39.21;17.03
Price/Book;2.11;1.95;1.76;2.09;0.98;1.47;1.41;2.01;2.60;2.12;2.30;1.95;4.19
Price/Forward Earnings;10.72;8.25;7.43;—;—;—;—;—;13.39;10.17;9.97;—;—
PEG Ratio;0.71;0.55;0.50;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;7.25;8.09;7.51;4.63;7.83;5.37;6.05;8.72;7.14;8.25;10.61;7.31;—
Enterprise Value (Mil);452.52;458.22;485.19;567.93;330.11;471.20;460.09;657.46;938.71;986.21;930.76;625.09;—
Enterprise Value/EBIT;9.02;8.45;9.64;14.58;9.98;13.47;12.47;12.26;11.95;11.31;6.59;11.34;—
Enterprise Value/EBITDA;8.66;8.06;9.09;13.36;8.89;11.98;11.17;11.41;11.37;10.84;6.42;10.41;—
