Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.39;0.52;0.84;0.68;0.91;1.19;1.31;1.19;1.30;1.49;1.89;1.33;3.01
Price/Earnings;—;—;—;—;314.00;33.21;7.33;13.08;25.24;—;62.17;22.25;25.53
Price/Cash Flow;—;—;87.35;27.40;27.78;11.68;13.04;11.63;58.06;15.67;13.99;19.88;17.03
Price/Book;0.62;1.44;1.95;1.76;2.12;2.13;1.99;1.93;2.57;3.28;1.72;2.48;4.19
Price/Forward Earnings;31.35;-19.27;114.94;-1,666.67;27.70;34.25;23.58;14.22;17.73;33.11;—;34.75;—
PEG Ratio;6.27;—;9.97;—;5.54;6.85;1.57;0.57;0.71;—;—;3.31;—
Earnings Yield %;-42.68;-30.15;-8.19;-0.13;0.32;3.01;13.64;7.65;3.96;-5.12;1.61;4.88;—
Enterprise Value (Bil);0.29;0.52;0.72;0.67;0.87;0.91;1.31;1.39;2.63;2.87;8.42;2.05;—
Enterprise Value/EBIT;—;—;—;30.49;43.11;20.49;16.13;9.09;21.84;—;40.02;19.29;—
Enterprise Value/EBITDA;—;—;—;15.19;22.64;14.91;13.12;8.14;17.41;—;32.24;15.20;—
