Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.59;0.69;0.92;0.95;1.40;2.26;1.55;0.77;0.98;0.39;0.76;1.17;3.01
Price/Earnings;169.84;29.04;45.32;39.28;8.73;37.13;31.93;—;—;—;23.72;36.99;25.53
Price/Cash Flow;17.85;14.79;27.71;15.88;13.22;12.32;9.35;5.15;6.06;2.20;4.85;7.16;17.03
Price/Book;2.48;3.16;4.14;3.21;1.95;1.94;0.99;0.89;1.09;0.44;0.90;1.12;4.19
Price/Forward Earnings;19.96;27.78;33.11;28.99;21.28;12.72;14.37;11.03;28.57;4.83;166.67;25.32;—
PEG Ratio;5.35;5.59;6.66;5.83;—;1.27;—;—;—;—;—;—;—
Earnings Yield %;0.59;3.44;2.21;2.55;11.46;2.69;3.13;-1.52;-0.98;-50.40;-39.95;-6.79;—
Enterprise Value (Bil);2.63;3.74;5.76;5.40;6.88;7.22;6.46;5.93;5.87;4.01;4.73;5.89;—
Enterprise Value/EBIT;414.14;30.16;42.04;34.97;13.62;28.97;27.50;24.24;22.64;—;12.92;23.76;—
Enterprise Value/EBITDA;42.33;20.20;28.87;22.75;10.96;15.71;13.55;10.49;10.33;19.18;142.21;15.44;—
