Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.48;0.83;1.51;2.26;1.90;2.38;1.95;2.57;2.14;2.11;2.48;2.11;3.01
Price/Earnings;12.98;17.13;27.18;35.38;26.00;30.17;21.95;21.44;22.17;24.17;17.36;23.61;25.53
Price/Cash Flow;8.42;6.45;11.29;16.70;12.92;28.41;17.65;20.54;12.08;15.05;16.64;18.65;17.03
Price/Book;2.27;2.91;4.55;12.03;166.77;—;—;—;—;—;—;168.79;4.19
Price/Forward Earnings;13.16;11.67;18.69;27.93;20.92;23.64;21.74;17.54;16.58;17.04;17.04;18.98;—
PEG Ratio;1.13;0.97;0.94;1.40;1.23;1.39;1.28;1.03;0.98;1.00;1.00;1.12;—
Earnings Yield %;7.70;5.84;3.68;2.83;3.85;3.31;4.56;4.66;4.51;4.14;5.76;4.38;—
Enterprise Value (Bil);1.38;1.62;2.51;3.60;3.36;4.51;4.04;3.07;2.95;4.26;4.75;3.74;—
Enterprise Value/EBIT;9.57;12.49;18.00;22.06;17.00;19.58;15.16;13.18;14.62;22.50;17.03;16.94;—
Enterprise Value/EBITDA;5.74;7.10;10.65;14.14;11.70;13.96;11.36;10.46;11.41;17.58;14.42;12.84;—
