Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;3.18;5.44;5.13;5.57;4.31;5.88;6.04;4.84;7.58;8.41;9.76;6.51;3.01
Price/Earnings;—;11.48;—;99.82;25.00;25.71;35.74;8.64;11.67;17.13;16.71;30.34;25.53
Price/Cash Flow;6.48;11.46;10.19;11.54;8.09;10.46;10.23;8.82;13.07;13.77;15.63;11.25;17.03
Price/Book;1.30;1.76;1.75;1.85;1.39;1.97;1.86;1.50;1.83;1.64;1.90;1.79;4.19
Price/Forward Earnings;-188.68;33.22;14.81;34.48;—;—;—;—;—;—;—;—;—
PEG Ratio;—;3.62;1.62;3.77;—;—;—;—;—;—;—;—;—
Earnings Yield %;-7.61;8.71;-1.96;1.00;4.00;3.89;2.80;11.57;8.57;5.84;5.98;6.37;—
Enterprise Value (Bil);2.98;3.83;4.03;4.58;3.78;4.29;4.24;3.42;3.88;4.02;4.78;4.04;—
Enterprise Value/EBIT;197.20;14.88;44.66;33.96;21.71;22.29;28.10;10.64;13.41;17.83;18.15;19.87;—
Enterprise Value/EBITDA;197.20;8.92;44.66;33.96;21.71;22.29;28.10;10.64;13.41;17.83;18.15;19.15;—
