Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.18;1.04;1.73;1.53;1.99;2.13;3.53;3.01;3.67;6.12;5.95;3.44;3.01
Price/Earnings;29.97;19.84;19.50;23.04;20.29;19.53;29.49;22.84;27.59;79.51;41.85;30.96;25.53
Price/Cash Flow;6.17;6.81;9.92;9.34;10.61;11.62;16.47;11.91;14.66;33.31;20.39;17.02;17.03
Price/Book;1.27;1.25;2.06;1.62;2.00;2.00;3.06;2.34;2.65;3.19;3.18;2.52;4.19
Price/Forward Earnings;14.56;11.24;14.22;22.42;20.28;17.79;27.10;17.57;21.10;24.57;29.41;21.75;—
PEG Ratio;0.97;0.75;0.95;1.49;—;—;—;—;—;—;—;—;—
Earnings Yield %;3.34;5.04;5.13;4.34;4.93;5.12;3.39;4.38;3.63;1.26;2.39;3.75;—
Enterprise Value (Bil);0.17;0.24;0.37;0.30;0.41;0.46;0.79;0.72;1.02;1.29;1.36;0.81;—
Enterprise Value/EBIT;17.99;14.90;12.68;14.09;13.97;12.61;18.56;17.14;25.00;72.90;55.52;27.17;—
Enterprise Value/EBITDA;7.39;7.30;8.02;7.78;8.94;8.94;13.71;12.66;18.45;39.00;28.60;17.10;—
