Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.90;1.10;1.13;0.73;0.57;0.50;0.68;0.43;0.67;0.76;0.77;0.63;3.01
Price/Earnings;—;12.45;10.10;10.37;11.26;9.69;13.58;8.07;10.82;8.54;7.44;10.34;25.53
Price/Cash Flow;—;—;—;—;—;—;—;9.38;6.70;5.79;7.61;11.11;17.03
Price/Book;1.51;1.92;2.20;1.33;1.12;1.02;1.34;0.82;1.25;1.41;1.43;1.21;4.19
Price/Forward Earnings;34.97;23.98;12.85;9.17;8.38;8.59;11.96;6.97;7.65;6.32;7.00;9.62;—
PEG Ratio;0.86;1.27;0.68;0.49;—;—;—;—;—;—;—;—;—
Earnings Yield %;-1.38;8.03;9.90;9.64;8.88;10.32;7.36;12.39;9.25;11.71;13.45;10.02;—
Enterprise Value (Bil);1.01;1.88;2.36;2.23;2.26;2.42;3.25;2.50;3.22;3.55;3.88;3.07;—
Enterprise Value/EBIT;58.53;35.45;15.32;10.40;11.75;10.68;13.37;9.07;11.00;7.86;6.31;10.50;—
Enterprise Value/EBITDA;41.49;30.71;14.44;9.89;10.96;10.01;12.52;8.34;10.07;7.36;6.01;9.75;—
