Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.31;1.58;1.98;2.21;2.13;2.48;2.20;2.08;2.48;2.18;1.79;2.22;3.01
Price/Earnings;12.39;14.69;16.92;24.31;19.92;20.00;20.29;27.24;20.42;17.32;14.17;20.61;25.53
Price/Cash Flow;18.31;13.03;15.07;22.44;17.99;14.82;17.30;28.90;16.49;13.71;13.41;17.74;17.03
Price/Book;4.77;8.75;8.12;10.16;12.09;10.53;7.45;8.17;8.65;6.01;4.46;8.23;4.19
Price/Forward Earnings;12.15;13.25;15.67;20.58;—;—;—;—;—;—;—;—;—
PEG Ratio;1.35;1.02;5.23;5.14;—;—;—;—;—;—;—;—;—
Earnings Yield %;8.07;6.81;5.91;4.11;5.02;5.00;4.93;3.67;4.90;5.77;7.05;4.98;—
Enterprise Value (Bil);2.88;3.86;4.49;5.27;4.95;5.37;5.22;5.28;6.06;4.90;4.15;5.26;—
Enterprise Value/EBIT;8.45;10.96;12.59;14.81;13.77;14.78;15.56;17.14;16.52;14.05;12.35;15.32;—
Enterprise Value/EBITDA;7.54;9.76;11.13;13.26;12.34;13.19;13.49;13.98;13.45;11.29;9.89;12.85;—
