Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.81;1.11;1.59;1.87;2.04;1.54;1.00;0.64;1.00;0.97;1.16;1.09;3.01
Price/Earnings;36.70;16.38;23.15;24.11;30.83;73.20;11.93;—;—;—;18.88;30.53;25.53
Price/Cash Flow;9.90;10.57;16.91;16.57;20.77;14.73;16.39;7.89;8.97;6.26;8.18;11.18;17.03
Price/Book;2.46;3.20;4.12;5.06;6.60;1.89;1.18;1.31;1.97;2.42;2.95;1.89;4.19
Price/Forward Earnings;9.56;11.81;15.36;17.21;18.02;14.88;10.41;10.47;13.26;12.35;16.18;13.46;—
PEG Ratio;1.02;1.18;1.54;1.72;1.80;1.27;1.20;—;—;—;—;1.44;—
Earnings Yield %;2.72;6.11;4.32;4.15;3.24;1.37;8.38;-54.60;-6.14;-1.32;5.30;-13.34;—
Enterprise Value (Bil);6.85;8.12;10.53;12.31;14.25;33.62;25.83;16.03;14.69;14.66;16.71;21.51;—
Enterprise Value/EBIT;28.32;12.57;15.40;21.09;25.76;68.16;15.96;11.41;27.24;27.03;18.97;30.53;—
Enterprise Value/EBITDA;16.91;10.03;12.47;16.69;19.69;39.86;11.61;8.43;15.29;15.76;13.56;19.40;—
