Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.91;1.38;1.70;2.03;1.77;1.66;2.03;1.65;2.11;2.49;2.78;1.92;3.01
Price/Earnings;12.42;22.34;23.89;23.78;23.09;30.08;22.68;20.78;26.38;31.77;33.44;27.08;25.53
Price/Cash Flow;9.71;11.75;13.72;21.03;18.42;15.94;19.20;21.17;15.38;17.38;17.58;17.27;17.03
Price/Book;3.46;5.12;5.05;5.14;5.16;4.85;4.97;4.84;6.00;6.43;6.79;5.38;4.19
Price/Forward Earnings;11.59;17.21;19.61;20.28;15.31;14.88;17.36;15.48;19.34;21.46;21.55;17.90;—
PEG Ratio;1.26;4.50;1.74;—;3.42;1.54;2.16;1.56;5.00;26.17;5.98;8.92;—
Earnings Yield %;8.05;4.48;4.19;4.21;4.33;3.32;4.41;4.81;3.79;3.15;2.99;4.03;—
Enterprise Value (Bil);15.25;22.40;27.44;31.74;29.51;28.45;32.10;27.99;36.24;38.39;44.79;31.37;—
Enterprise Value/EBIT;8.40;13.90;14.15;14.67;18.18;21.81;16.74;15.16;20.90;24.69;26.69;20.07;—
Enterprise Value/EBITDA;6.67;10.79;11.25;11.94;13.95;15.84;13.44;11.98;16.20;18.52;20.48;15.09;—
