Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.51;1.53;1.75;1.93;1.29;1.86;2.49;1.81;1.98;1.83;2.03;1.95;3.01
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;25.53
Price/Cash Flow;—;—;—;—;—;—;36.15;—;—;93.52;33.02;—;17.03
Price/Book;1.26;1.60;1.75;2.72;2.91;4.22;3.63;3.03;7.01;2.90;2.58;4.04;4.19
Price/Forward Earnings;17.09;34.25;-370.37;—;—;31.85;69.44;42.92;19.72;-106.38;49.26;151.47;—
PEG Ratio;—;—;—;—;—;1.06;2.31;1.43;0.66;—;—;—;—
Earnings Yield %;-12.68;-3.78;-7.94;-12.56;-23.91;-7.38;-5.33;-4.11;-8.45;-7.27;-5.28;-7.24;—
Enterprise Value (Mil);37.49;63.94;63.43;78.75;57.56;71.33;114.16;89.82;190.04;301.57;313.37;146.92;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;-30.09;-12.89;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;187.66;48.04;-17.28;—
