Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.57;2.76;4.04;3.43;2.97;3.56;4.79;4.63;5.47;6.71;8.09;4.86;3.01
Price/Earnings;23.43;18.54;31.58;25.01;26.58;30.33;42.85;29.73;35.90;41.64;54.95;35.08;25.53
Price/Cash Flow;22.36;18.22;28.07;21.19;22.49;26.82;24.02;25.92;34.09;27.01;32.32;26.59;17.03
Price/Book;2.62;2.55;3.28;2.89;2.64;3.34;3.99;3.52;3.80;3.84;4.03;3.59;4.19
Price/Forward Earnings;16.42;16.69;23.58;23.04;20.62;25.91;—;24.45;28.17;—;29.76;26.12;—
PEG Ratio;0.91;2.21;1.79;1.36;—;—;—;—;—;—;—;—;—
Earnings Yield %;4.27;5.39;3.17;4.00;3.76;3.30;2.33;3.36;2.79;2.40;1.82;2.96;—
Enterprise Value (Bil);0.87;1.05;1.54;1.41;1.88;2.50;3.24;3.27;3.99;4.38;4.77;3.35;—
Enterprise Value/EBIT;13.98;11.64;19.52;16.04;21.20;21.52;29.02;23.18;29.32;32.35;42.81;26.36;—
Enterprise Value/EBITDA;11.46;10.02;16.41;13.64;17.38;17.45;23.22;19.22;24.02;26.02;33.09;21.38;—
