Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.68;1.43;1.64;1.67;1.61;2.17;2.32;2.04;2.63;3.13;3.58;2.30;3.01
Price/Earnings;21.66;19.07;21.72;20.09;18.06;24.23;24.22;26.34;29.46;32.49;37.88;25.72;25.53
Price/Cash Flow;25.05;14.71;14.26;12.45;11.41;10.08;15.81;15.86;19.56;22.33;15.06;16.26;17.03
Price/Book;3.07;2.51;2.68;2.76;2.70;3.50;3.42;2.99;4.25;3.84;3.59;3.38;4.19
Price/Forward Earnings;15.31;13.11;15.65;17.83;17.42;20.96;22.83;16.31;21.74;36.63;27.70;22.24;—
PEG Ratio;1.00;0.90;1.56;1.78;0.97;—;1.52;1.30;1.45;2.44;1.85;1.58;—
Earnings Yield %;4.62;5.25;4.60;4.98;5.54;4.13;4.13;3.80;3.39;3.08;2.64;4.04;—
Enterprise Value (Bil);3.17;3.14;3.57;3.80;3.88;4.91;5.21;5.76;8.32;8.36;8.12;6.13;—
Enterprise Value/EBIT;14.90;14.10;15.76;15.18;14.60;19.38;18.61;22.92;22.83;26.30;29.60;20.74;—
Enterprise Value/EBITDA;11.00;10.79;11.87;11.59;11.38;15.23;14.44;15.68;16.43;18.62;20.02;16.52;—
