Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.41;0.34;0.43;0.44;0.47;0.40;0.37;0.44;0.38;0.34;0.35;0.39;2.06
Price/Earnings;12.85;12.99;18.64;17.61;21.01;18.31;19.10;13.30;14.38;12.84;20.02;15.75;31.62
Price/Cash Flow;6.79;5.28;7.32;8.01;7.60;8.33;6.22;6.32;6.07;3.69;5.12;5.96;17.41
Price/Book;1.99;1.76;1.96;2.73;3.11;1.68;1.52;1.72;1.74;1.82;1.94;1.84;2.50
Price/Forward Earnings;10.74;9.17;12.79;14.71;—;14.62;12.56;13.89;13.11;11.85;12.76;13.40;—
PEG Ratio;1.18;—;3.98;1.44;—;1.32;1.09;51.42;6.19;2.71;2.92;11.21;—
Earnings Yield %;7.78;7.70;5.36;5.68;—;5.46;5.24;7.52;6.95;7.79;4.99;6.60;—
Enterprise Value (Bil);11.06;11.35;10.27;11.78;—;24.93;22.04;23.33;24.40;29.69;34.75;24.79;—
Enterprise Value/EBIT;8.97;9.49;9.80;9.78;—;17.03;11.19;9.84;10.00;10.12;16.65;11.53;—
Enterprise Value/EBITDA;5.43;5.24;5.00;5.64;—;9.10;5.75;5.58;5.56;5.08;6.96;6.05;—
