Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.66;0.77;0.92;0.99;1.04;1.04;1.27;1.95;1.94;1.98;2.33;1.68;2.06
Price/Earnings;16.60;—;29.17;25.01;20.10;14.54;20.75;45.56;38.00;30.95;27.37;31.38;31.62
Price/Cash Flow;30.93;16.02;13.15;22.14;18.23;10.06;18.02;16.43;307.56;16.04;15.06;85.90;17.41
Price/Book;0.97;1.73;2.36;2.57;2.59;2.36;2.88;2.90;2.66;2.86;3.39;2.68;2.50
Price/Forward Earnings;11.63;16.00;18.69;15.36;—;13.68;16.10;18.08;21.01;19.65;21.83;18.82;—
PEG Ratio;4.91;1.14;1.69;2.11;—;40.25;2.98;—;1.29;1.53;2.06;7.88;—
Earnings Yield %;6.02;-14.67;3.43;4.00;—;6.88;4.82;2.20;2.63;3.23;3.65;3.71;—
Enterprise Value (Bil);10.27;14.19;15.49;15.99;—;16.06;20.08;20.74;18.63;18.06;21.39;18.58;—
Enterprise Value/EBIT;8.89;—;—;14.75;—;9.42;13.96;28.76;23.32;18.99;19.13;18.94;—
Enterprise Value/EBITDA;5.93;—;—;9.44;—;6.93;9.76;15.72;16.65;13.67;14.51;12.66;—
