Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.85;1.09;1.88;4.14;3.53;4.51;4.77;2.68;4.40;6.43;9.87;4.64;2.06
Price/Earnings;6.75;208.88;1.13;—;14.60;28.05;12.36;6.24;18.75;28.61;41.27;19.67;31.62
Price/Cash Flow;5.60;36.29;17.48;19.68;19.47;18.20;39.82;27.27;13.64;23.51;46.17;25.01;17.41
Price/Book;2.02;2.31;0.83;1.34;1.23;1.34;1.63;1.11;2.59;4.76;6.82;2.28;2.50
Price/Forward Earnings;11.36;13.81;13.70;14.68;—;18.32;16.03;10.62;17.95;24.45;30.21;17.93;—
PEG Ratio;3.79;—;0.18;—;—;—;2.25;6.89;1.81;10.10;1.90;—;—
Earnings Yield %;14.81;0.48;88.60;-10.00;—;3.57;8.09;16.02;5.33;3.50;2.42;6.88;—
Enterprise Value (Bil);1.06;1.50;1.22;1.82;—;2.19;2.72;1.52;4.41;8.34;13.09;3.84;—
Enterprise Value/EBIT;2.51;18.05;0.88;—;—;19.29;16.73;3.35;12.80;21.59;34.22;15.35;—
Enterprise Value/EBITDA;2.28;10.61;0.85;—;—;12.70;12.68;3.00;10.62;17.54;27.71;11.59;—
