Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.65;0.84;1.05;0.99;0.88;1.29;1.65;1.36;2.26;2.70;3.37;1.90;2.06
Price/Earnings;8.34;27.42;31.78;30.32;161.48;21.74;8.33;12.74;23.27;41.66;60.38;27.99;31.62
Price/Cash Flow;6.71;10.47;15.46;11.60;10.24;10.51;14.05;9.58;14.62;16.91;18.26;13.43;17.41
Price/Book;1.02;1.32;1.63;1.46;1.50;1.71;2.03;1.65;2.48;3.31;3.74;2.32;2.50
Price/Forward Earnings;11.03;11.79;14.04;15.06;—;16.29;18.28;14.29;21.74;28.65;32.15;20.77;—
PEG Ratio;1.98;—;1.25;0.69;—;1.02;1.66;1.53;4.66;3.67;4.13;2.84;—
Earnings Yield %;11.99;3.65;3.15;3.30;—;4.60;12.00;7.85;4.30;2.40;1.66;5.74;—
Enterprise Value (Bil);6.18;9.16;11.85;10.99;—;11.99;14.67;13.23;20.83;26.29;30.32;17.99;—
Enterprise Value/EBIT;5.75;14.19;16.34;16.85;—;17.01;18.59;10.36;20.95;31.00;43.76;19.98;—
Enterprise Value/EBITDA;5.75;8.00;16.34;16.85;—;17.01;18.59;10.36;20.95;31.00;21.16;17.90;—
