Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.07;0.05;0.09;0.08;0.08;0.06;0.15;0.16;0.11;0.12;0.16;0.13;2.06
Price/Earnings;8.71;—;—;—;—;—;—;0.17;5.86;6.66;7.03;5.46;31.62
Price/Cash Flow;6.41;—;31.00;6.99;—;2.97;—;7.38;19.05;2.32;2.20;7.85;17.41
Price/Book;0.30;0.38;0.67;0.57;0.63;0.48;1.28;1.18;0.99;1.02;1.26;1.09;2.50
Price/Forward Earnings;5.81;-1,000.00;-38.46;7.78;—;8.00;10.21;5.26;3.93;10.48;6.37;7.92;—
PEG Ratio;5.81;—;—;1.56;—;—;—;—;—;—;—;—;—
Earnings Yield %;11.48;-73.64;-54.90;-0.67;—;-20.47;-53.56;586.86;17.07;15.01;14.23;39.45;—
Enterprise Value (Mil);417.84;192.40;417.35;273.17;—;195.17;252.82;185.27;259.57;247.64;205.17;201.64;—
Enterprise Value/EBIT;11.02;—;—;28.92;—;—;—;9.52;7.00;4.76;4.43;23.26;—
Enterprise Value/EBITDA;5.83;—;—;8.24;—;53.15;—;5.76;4.50;2.85;2.55;19.64;—
