Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;8.71;9.82;9.98;11.60;12.27;11.34;10.57;6.43;6.20;2.95;3.87;7.35;1.50
Price/Earnings;6.49;11.52;11.49;19.18;11.61;8.86;8.50;9.02;13.17;—;5.57;10.09;24.83
Price/Cash Flow;10.58;12.72;13.71;16.02;15.41;14.64;14.14;10.26;10.17;5.53;7.19;10.65;11.13
Price/Book;1.14;1.34;1.36;1.54;1.59;1.37;1.16;0.68;0.70;0.41;0.52;0.85;1.87
Price/Forward Earnings;—;8.87;20.83;18.35;—;19.61;16.67;9.93;11.42;7.63;9.71;12.78;—
PEG Ratio;—;—;—;—;—;—;—;3.04;4.36;—;—;—;—
Earnings Yield %;15.41;8.68;8.70;5.21;—;11.29;11.76;11.09;7.59;-40.26;-71.56;-2.77;—
Enterprise Value (Bil);22.39;28.46;30.94;34.89;—;36.34;35.62;45.16;45.60;34.98;34.17;38.35;—
Enterprise Value/EBIT;8.19;12.71;13.59;18.43;—;10.26;9.85;20.37;35.50;—;43.47;20.18;—
Enterprise Value/EBITDA;8.09;12.62;13.47;18.22;—;10.19;9.85;20.35;35.45;—;41.81;20.01;—
