Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;—;2.27;1.86;2.36;—;3.01
Price/Earnings;—;—;—;—;—;—;—;—;52.74;—;56.75;—;25.53
Price/Cash Flow;—;—;—;—;—;—;—;—;72.70;—;78.21;—;17.03
Price/Book;—;—;—;—;—;—;—;—;—;—;1,602.37;—;4.19
Price/Forward Earnings;—;—;—;—;—;—;—;—;17.33;84.03;—;—;—
PEG Ratio;—;—;—;—;—;—;—;—;1.05;—;—;—;—
Earnings Yield %;—;—;—;—;—;—;—;—;1.90;-3.94;-8.89;—;—
Enterprise Value (Bil);—;—;—;—;—;—;—;—;197.11;158.49;179.53;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;41.35;—;40.90;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;28.19;—;131.95;—;—
