Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.73;0.88;1.55;2.49;0.46;0.77;1.88;2.29;2.81;2.49;2.47;2.10;1.89
Price/Earnings;12.83;10.99;18.30;20.67;5.04;—;—;23.03;27.23;23.17;23.17;25.07;18.67
Price/Cash Flow;7.42;7.11;12.63;12.64;2.40;6.79;8.07;14.83;18.28;20.76;14.80;13.74;10.50
Price/Book;1.59;1.94;3.73;7.13;1.33;7.02;5.08;5.71;6.51;6.06;5.47;5.80;1.64
Price/Forward Earnings;8.42;12.48;14.22;15.11;6.42;17.99;14.64;15.70;19.72;19.19;19.19;17.86;—
PEG Ratio;16.85;—;—;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;7.80;9.10;5.46;4.84;19.83;-64.78;-4.29;4.34;3.67;4.32;4.32;-9.76;—
Enterprise Value (Bil);0.53;0.70;1.17;1.49;0.68;0.85;1.22;1.29;1.67;1.67;1.66;1.39;—
Enterprise Value/EBIT;13.05;12.68;17.63;18.10;7.05;—;67.38;19.08;23.10;19.11;19.58;31.24;—
Enterprise Value/EBITDA;9.64;9.70;13.98;14.94;5.80;—;34.85;15.45;18.02;14.56;14.78;20.55;—
