Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.46;0.71;—;—;—;—;—;0.81;0.94;0.97;0.88;0.84;1.89
Price/Earnings;9.83;6.28;6.30;29.04;24.58;15.49;13.26;42.05;38.33;24.49;23.39;24.68;18.67
Price/Cash Flow;4.98;3.74;2.92;4.50;5.53;3.36;3.40;3.85;4.03;3.65;3.03;3.51;10.50
Price/Book;8.40;3.25;2.70;3.26;3.29;2.48;1.98;1.80;2.14;2.17;1.89;2.00;1.64
Price/Forward Earnings;10.98;6.53;6.51;29.41;23.98;19.46;15.92;30.77;27.25;22.03;19.38;22.43;—
PEG Ratio;8.65;—;9.30;42.03;—;—;—;—;—;—;—;—;—
Earnings Yield %;10.18;15.94;15.87;3.44;4.07;6.46;7.54;2.38;2.61;4.08;4.28;4.73;—
Enterprise Value (Bil);2.75;1.56;1.30;1.72;1.33;1.56;1.36;1.29;1.77;1.54;1.44;1.47;—
Enterprise Value/EBIT;7.60;5.68;—;—;—;—;—;—;37.34;21.77;22.92;-61.24;—
Enterprise Value/EBITDA;5.11;3.17;—;—;—;—;—;—;5.46;4.25;3.77;6.68;—
