Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;1.17;0.96;1.10;1.65;1.88;—;1.15
Price/Earnings;—;—;—;—;—;—;16.24;14.01;18.51;23.71;23.49;—;18.18
Price/Cash Flow;—;—;—;—;—;—;13.56;9.45;11.32;10.63;10.40;—;7.96
Price/Book;—;—;—;—;—;—;2.22;1.71;1.98;2.53;2.70;—;1.75
Price/Forward Earnings;—;—;—;—;—;—;14.88;12.94;14.79;18.25;16.58;—;—
PEG Ratio;—;—;—;—;—;—;2.17;3.33;1.81;1.40;0.92;—;—
Earnings Yield %;—;—;—;—;—;—;6.16;7.14;5.40;4.22;4.26;—;—
Enterprise Value (Bil);—;—;—;—;—;—;116.18;97.51;116.78;121.78;126.90;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;12.42;10.67;13.50;18.77;16.77;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;9.24;7.76;9.62;12.63;11.90;—;—
