Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.56;0.51;0.59;0.74;0.75;0.73;0.67;0.72;0.97;1.50;1.43;0.90;1.06
Price/Earnings;7.47;8.18;9.54;11.18;11.19;13.36;6.71;33.72;20.34;43.96;21.10;20.41;22.79
Price/Cash Flow;—;4.16;4.74;3.28;3.73;2.50;6.05;3.53;5.28;8.28;12.94;4.86;6.13
Price/Book;1.13;1.01;1.13;1.38;1.41;1.17;1.07;1.28;1.58;2.24;1.85;1.45;1.77
Price/Forward Earnings;8.04;1.58;2.25;—;—;11.12;11.53;12.71;16.42;21.51;20.37;14.94;—
PEG Ratio;5.25;1.18;0.42;—;—;1.04;2.99;2.52;1.84;3.27;4.61;2.40;—
Earnings Yield %;13.38;12.23;10.49;—;—;7.48;14.90;2.97;4.92;2.27;4.74;6.43;—
Enterprise Value (Bil);25.33;26.70;27.94;—;—;27.67;27.01;26.95;30.19;35.64;34.04;29.30;—
Enterprise Value/EBIT;8.03;10.67;10.84;—;—;10.99;9.81;19.28;14.28;19.06;15.91;14.04;—
Enterprise Value/EBITDA;5.50;6.82;6.99;—;—;6.93;6.44;8.83;8.43;9.77;9.05;7.93;—
