Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.41;0.73;1.46;1.43;1.05;1.67;2.58;1.34;2.39;2.15;2.77;1.99;3.07
Price/Earnings;12.09;—;—;—;23.55;58.20;23.92;4.65;51.27;22.06;24.54;27.19;25.84
Price/Cash Flow;—;—;—;—;30.30;—;21.05;18.33;27.74;15.87;30.01;21.56;17.36
Price/Book;0.66;0.80;1.56;1.72;1.60;2.17;3.62;1.46;1.93;2.13;2.72;2.16;4.27
Price/Forward Earnings;40.00;-11.49;55.56;-51.28;25.91;19.16;15.17;—;—;19.16;20.70;18.78;—
PEG Ratio;2.00;—;2.77;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;8.27;-23.19;-12.30;-3.91;4.25;1.72;4.18;21.52;1.95;4.53;4.07;6.67;—
Enterprise Value (Bil);0.10;0.10;0.24;0.27;0.27;0.41;0.84;0.48;0.68;0.82;1.17;0.65;—
Enterprise Value/EBIT;11.17;—;—;—;14.53;31.55;19.42;8.01;28.64;13.76;17.51;18.53;—
Enterprise Value/EBITDA;5.87;—;—;—;11.56;23.49;17.47;7.34;22.00;11.83;15.18;15.66;—
