Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;3.26;3.28;3.71;4.59;3.87;1.66;1.82;1.24;0.46;0.20;0.25;1.16;3.07
Price/Earnings;44.15;6.47;8.25;74.31;855.60;—;—;—;—;0.67;1.10;8.22;25.84
Price/Cash Flow;26.68;19.24;32.76;21.44;62.36;33.52;14.29;3.28;—;—;3.24;37.05;17.36
Price/Book;5.02;2.56;2.80;3.27;3.20;1.29;1.46;1.23;0.35;0.13;0.24;1.00;4.27
Price/Forward Earnings;38.91;21.14;41.15;-2,000.00;-41.49;-10.21;31.06;-5.95;-0.66;—;—;41.93;—
PEG Ratio;1.27;1.10;2.15;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;2.27;15.45;12.12;1.35;0.12;-2.61;-5.59;-20.60;-339.71;149.25;-333.48;-138.36;—
Enterprise Value (Bil);0.68;0.77;0.91;1.23;1.81;1.04;1.14;0.62;0.23;0.23;0.19;0.70;—
Enterprise Value/EBIT;26.24;29.34;46.23;25.32;56.09;—;—;—;—;3.24;3.59;12.70;—
Enterprise Value/EBITDA;22.50;24.90;35.07;21.85;38.92;—;108.88;—;—;2.06;2.29;3.73;—
