Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.79;2.01;2.63;1.91;1.49;1.79;1.34;1.00;0.85;1.44;1.90;1.31;3.07
Price/Earnings;13.83;26.41;42.87;26.27;41.00;33.36;21.99;—;—;—;72.57;76.21;25.84
Price/Cash Flow;14.24;14.55;22.47;25.03;23.67;47.58;26.00;—;28.06;—;27.27;32.01;17.36
Price/Book;2.89;1.76;2.51;2.06;1.79;2.27;1.86;1.11;1.20;1.93;2.66;1.71;4.27
Price/Forward Earnings;13.44;18.32;28.49;23.64;23.70;24.15;16.05;25.58;-333.33;36.90;37.59;70.75;—
PEG Ratio;1.08;1.22;1.90;1.58;2.01;0.93;1.08;—;—;—;—;1.40;—
Earnings Yield %;7.23;3.79;2.33;3.81;2.44;3.00;4.55;-4.28;-10.52;-2.17;1.38;-1.84;—
Enterprise Value (Bil);1.81;1.03;1.39;1.08;0.76;0.99;0.80;0.44;0.38;0.64;0.90;0.66;—
Enterprise Value/EBIT;8.55;13.74;25.20;16.14;25.69;21.55;15.12;—;—;—;89.69;20.26;—
Enterprise Value/EBITDA;8.12;11.57;19.90;13.23;17.22;16.58;11.58;—;—;1,825.46;34.09;20.57;—
