Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.79;0.81;1.28;0.96;0.86;1.34;1.72;0.79;1.26;2.09;2.41;1.38;3.07
Price/Earnings;13.55;24.23;33.22;20.28;17.18;32.09;36.00;13.90;38.94;—;32.45;29.38;25.84
Price/Cash Flow;14.56;9.81;13.59;8.68;7.69;13.58;19.50;7.63;9.88;15.08;16.10;12.45;17.36
Price/Book;2.38;2.55;3.54;2.79;2.61;4.00;3.82;3.87;1.25;1.89;2.13;2.51;4.27
Price/Forward Earnings;11.67;11.52;13.39;—;—;—;—;—;—;17.06;20.12;—;—
PEG Ratio;0.78;0.77;0.89;—;—;—;—;—;—;1.14;1.34;—;—
Earnings Yield %;7.38;4.13;3.01;4.93;5.82;3.12;2.78;7.20;2.57;-0.54;3.08;2.84;—
Enterprise Value (Bil);0.68;0.75;1.04;0.96;0.84;1.13;1.72;1.82;3.82;4.88;5.44;2.68;—
Enterprise Value/EBIT;9.67;10.00;14.46;13.17;12.76;20.17;26.90;22.27;20.30;69.94;22.75;31.91;—
Enterprise Value/EBITDA;7.38;7.33;10.39;9.22;8.69;13.11;17.52;15.31;12.06;24.62;14.89;16.34;—
