Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;6.27;10.71;13.00;6.47;—;—;16.42;11.47;14.80;—;7.20;18.88;3.07
Price/Earnings;—;10.58;13.24;6.24;—;—;15.54;13.33;19.62;—;8.18;20.21;25.84
Price/Cash Flow;30.25;4.87;—;—;3.02;2.13;4.19;9.77;—;5.10;1.94;4.69;17.36
Price/Book;0.80;1.03;1.02;0.85;0.65;0.83;0.84;0.63;0.93;0.69;0.88;0.81;4.27
Price/Forward Earnings;7.03;7.26;9.65;7.65;7.15;7.81;8.45;6.20;9.34;6.70;9.51;8.47;—
PEG Ratio;1.41;1.45;1.93;1.53;2.38;2.60;—;—;—;—;—;2.19;—
Earnings Yield %;-5.43;9.45;7.55;16.04;-2.11;-3.58;6.44;7.50;5.10;-15.25;12.22;0.27;—
Enterprise Value (Bil);2.48;2.74;2.99;3.33;2.56;2.30;2.10;1.80;2.75;2.29;2.38;2.29;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;15.72;29.69;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;—;15.72;29.69;—
