Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.36;1.56;2.06;2.50;2.34;2.06;1.72;0.98;1.56;2.51;3.55;1.70;3.01
Price/Earnings;20.05;18.08;22.58;27.53;17.00;11.78;16.59;8.09;13.30;—;13.26;11.90;25.53
Price/Cash Flow;6.92;8.01;10.16;11.33;8.40;6.79;7.49;4.21;7.20;7.60;10.30;6.71;17.03
Price/Book;3.00;3.54;4.86;7.70;8.44;6.26;5.25;2.48;3.43;4.36;4.82;4.11;4.19
Price/Forward Earnings;13.39;14.01;16.92;16.61;12.53;12.80;14.06;8.50;—;24.10;44.84;13.18;—
PEG Ratio;1.20;1.40;1.69;1.66;1.25;1.28;—;0.85;—;—;—;1.39;—
Earnings Yield %;4.99;5.53;4.43;3.63;5.88;8.49;6.03;12.36;7.52;-3.19;-4.75;6.58;—
Enterprise Value (Bil);0.88;1.24;1.85;2.87;3.13;3.13;3.07;2.51;3.79;4.06;4.43;3.01;—
Enterprise Value/EBIT;10.10;9.31;12.24;16.49;10.64;7.84;11.15;11.82;11.02;—;16.87;10.23;—
Enterprise Value/EBITDA;6.94;6.50;8.42;11.39;8.01;6.27;7.73;7.51;7.66;—;335.27;15.66;—
