Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.39;0.24;0.32;0.30;0.35;0.38;0.61;0.34;0.41;0.85;0.74;0.48;3.07
Price/Earnings;—;5.11;0.93;—;12.50;164.00;—;18.00;25.29;20.50;18.06;38.74;25.84
Price/Cash Flow;1.82;1.06;1.39;1.95;5.36;2.40;4.05;1.49;1.85;2.99;3.51;2.44;17.36
Price/Book;—;—;1.10;0.63;0.58;0.54;0.91;0.46;0.56;1.14;1.09;0.68;4.27
Price/Forward Earnings;14.33;2.48;0.67;—;—;—;—;13.09;—;—;16.10;—;—
PEG Ratio;1.59;—;—;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;-2.33;19.59;107.55;-7.26;8.00;0.61;-0.75;5.56;3.95;4.88;-1.50;2.45;—
Enterprise Value (Mil);682.67;625.30;507.55;494.68;240.48;242.00;317.00;231.13;326.98;420.82;407.79;308.78;—
Enterprise Value/EBIT;15.53;9.96;2.58;17.77;6.00;14.16;24.51;9.41;18.69;16.57;42.59;17.96;—
Enterprise Value/EBITDA;6.59;5.47;2.09;7.90;3.33;4.71;6.49;3.91;5.92;6.40;7.47;5.60;—
