Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.03;0.04;0.06;0.20;0.13;0.26;0.11;0.02;0.02;0.28;0.48;0.13;3.01
Price/Earnings;—;—;—;9.48;—;—;—;—;—;—;24.56;—;25.53
Price/Cash Flow;—;—;—;2.45;—;71.21;3.20;1.35;—;3.79;9.52;10.64;17.03
Price/Book;3.39;0.88;1.14;1.22;0.55;1.14;0.54;0.12;0.14;1.61;1.48;0.64;4.19
Price/Forward Earnings;—;—;—;6.34;3.82;9.79;5.76;4.00;—;3.99;18.05;16.54;—
PEG Ratio;—;—;—;0.32;—;—;—;—;—;—;—;—;—
Earnings Yield %;-180.19;-60.11;-29.47;10.55;-2.09;-2.84;-4.98;-116.14;-273.85;-14.55;4.07;-94.18;—
Enterprise Value (Mil);188.27;160.11;195.53;234.54;366.83;592.05;384.39;217.87;306.97;539.97;515.80;383.72;—
Enterprise Value/EBIT;—;—;—;4.85;—;108.53;112.92;—;—;—;17.75;21.37;—
Enterprise Value/EBITDA;—;—;27.53;3.83;21.37;14.61;9.42;24.06;—;47.78;9.31;15.95;—
