Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;19.15;16.41;18.52;17.99;15.96;9.40;7.82;5.59;5.15;5.92;6.60;6.90;3.07
Price/Earnings;89.38;73.23;75.08;77.10;168.81;74.15;53.39;141.10;16.59;36.50;60.48;84.80;25.84
Price/Cash Flow;59.19;45.32;67.30;66.05;52.01;33.63;21.88;36.37;14.76;12.95;13.38;26.42;17.36
Price/Book;12.56;9.26;11.11;11.79;5.22;3.22;2.97;2.37;2.31;3.10;3.32;2.85;4.27
Price/Forward Earnings;40.65;38.76;42.74;32.89;38.31;23.70;17.12;10.82;9.05;12.67;14.12;15.59;—
PEG Ratio;0.97;1.20;1.75;1.47;1.82;1.62;1.08;0.61;0.52;0.98;1.19;1.07;—
Earnings Yield %;1.12;1.37;1.33;1.30;0.59;1.35;1.87;0.71;6.03;2.74;1.65;2.84;—
Enterprise Value (Bil);12.79;17.41;25.01;35.21;45.23;29.56;28.45;23.43;24.42;34.77;40.40;28.66;—
Enterprise Value/EBIT;63.78;42.99;50.01;43.57;69.16;46.06;43.11;50.58;15.03;51.19;65.81;48.18;—
Enterprise Value/EBITDA;58.76;40.60;47.49;41.67;60.68;30.67;26.54;24.53;12.15;33.95;43.46;26.64;—
