Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.35;1.68;2.87;3.38;2.37;3.33;3.81;1.95;3.95;4.63;6.44;3.63;3.07
Price/Earnings;7.39;127.11;84.19;28.64;16.67;20.95;16.13;10.14;21.34;22.02;28.78;18.58;25.84
Price/Cash Flow;5.87;7.89;34.59;17.04;19.68;14.60;15.35;8.87;17.77;20.94;26.64;15.94;17.36
Price/Book;1.58;1.89;3.01;3.87;2.80;4.81;5.75;4.56;6.80;7.46;10.53;6.14;4.27
Price/Forward Earnings;8.98;14.86;17.33;21.74;16.78;14.01;12.89;8.99;16.84;17.92;18.59;14.31;—
PEG Ratio;0.71;0.44;0.55;1.63;1.73;1.24;2.07;1.33;1.28;2.01;1.21;1.90;—
Earnings Yield %;13.54;0.79;1.19;3.49;6.00;4.77;6.20;9.87;4.69;4.54;3.47;5.83;—
Enterprise Value (Bil);9.69;13.69;21.36;29.22;20.88;34.33;52.03;32.48;57.57;78.91;125.21;53.85;—
Enterprise Value/EBIT;3.98;33.31;48.00;18.94;12.27;15.84;13.24;6.59;16.42;17.91;23.58;14.28;—
Enterprise Value/EBITDA;3.61;16.44;24.98;15.24;10.08;13.43;12.00;6.03;14.88;16.50;22.00;12.84;—
