Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.21;0.23;0.34;0.79;1.04;1.02;1.20;2.42;2.91;4.82;4.16;2.40;3.07
Price/Earnings;—;—;—;—;—;34.66;41.83;45.22;43.36;58.78;43.67;47.29;25.84
Price/Cash Flow;2.26;4.86;4.13;—;14.06;26.63;17.63;20.78;28.80;32.68;26.12;24.56;17.36
Price/Book;0.65;0.78;1.26;2.57;3.36;3.22;3.49;8.43;8.94;12.73;10.94;7.10;4.27
Price/Forward Earnings;11.06;12.50;51.28;27.10;23.15;20.88;21.28;28.57;36.10;45.87;38.61;31.65;—
PEG Ratio;0.81;0.83;3.42;1.81;1.54;1.39;1.42;1.90;2.41;3.07;2.57;2.11;—
Earnings Yield %;-116.96;-24.32;-43.27;-0.44;-0.51;2.89;2.39;2.21;2.31;1.70;2.29;2.22;—
Enterprise Value (Bil);0.44;0.44;0.50;1.09;1.36;1.52;1.81;3.79;5.69;9.92;8.88;4.36;—
Enterprise Value/EBIT;—;—;—;2,505.17;343.93;20.44;25.35;23.85;31.51;49.61;35.87;29.56;—
Enterprise Value/EBITDA;—;—;—;35.04;52.55;16.29;20.22;21.94;25.47;37.58;27.88;23.89;—
