Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.83;1.86;2.63;1.68;3.18;2.83;3.56;3.39;3.50;4.76;4.20;3.79;3.01
Price/Earnings;91.11;—;1,424.25;—;951.96;171.60;297.58;84.10;81.87;95.23;65.46;148.38;25.53
Price/Cash Flow;25.49;27.19;37.01;25.17;32.56;24.76;35.32;28.10;26.27;29.95;26.22;30.42;17.03
Price/Book;10.14;13.90;20.14;13.96;25.61;20.12;22.96;18.85;16.28;19.79;16.81;20.56;4.19
Price/Forward Earnings;86.21;88.50;103.09;102.04;90.91;69.93;129.87;55.87;58.14;61.35;57.47;86.17;—
PEG Ratio;3.50;3.04;1.95;1.65;1.00;0.95;14.39;0.94;1.32;1.26;1.39;2.70;—
Earnings Yield %;1.10;-0.04;0.07;-0.15;0.11;0.58;0.34;1.19;1.22;1.05;1.53;0.85;—
Enterprise Value (Bil);72.39;106.28;178.40;140.53;312.16;346.17;563.94;732.39;936.35;1,651.35;1,748.50;885.80;—
Enterprise Value/EBIT;59.14;167.10;343.07;1,615.27;211.35;83.82;150.62;65.68;63.25;74.54;53.46;91.58;—
Enterprise Value/EBITDA;34.20;38.02;51.37;31.83;42.26;29.58;40.22;28.47;27.00;35.93;29.09;33.90;—
