Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.21;2.00;7.28;6.07;6.77;7.06;7.19;4.63;6.62;5.08;4.87;5.81;3.07
Price/Earnings;19.22;12.12;30.29;16.90;20.85;21.01;25.43;26.46;24.12;—;47.14;25.91;25.84
Price/Cash Flow;20.30;13.52;25.33;18.91;15.00;22.41;20.66;15.69;21.77;27.59;65.67;22.46;17.36
Price/Book;1.44;1.27;4.25;3.57;2.87;3.34;3.13;1.87;2.63;2.28;2.30;2.52;4.27
Price/Forward Earnings;13.70;10.17;22.52;27.32;24.75;21.98;29.41;23.04;32.15;50.25;109.89;38.42;—
PEG Ratio;—;—;—;—;1.98;1.46;2.94;2.30;3.21;—;11.04;3.25;—
Earnings Yield %;5.20;8.25;3.30;5.92;4.80;4.76;3.93;3.78;4.15;-0.71;-4.30;3.23;—
Enterprise Value (Mil);116.08;103.36;489.62;513.29;443.33;595.66;637.71;328.59;591.38;571.53;563.24;514.18;—
Enterprise Value/EBIT;10.07;4.64;15.27;8.56;10.27;10.84;13.08;15.13;15.08;—;34.88;15.30;—
Enterprise Value/EBITDA;7.57;3.86;13.30;7.93;9.42;10.15;12.05;12.07;13.10;72.38;58.89;16.30;—
