Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.53;0.99;1.43;1.38;1.33;1.46;1.03;0.60;0.63;0.66;0.83;0.90;3.07
Price/Earnings;—;38.66;43.79;27.88;21.65;18.79;16.45;10.59;22.26;12.00;44.81;18.86;25.84
Price/Cash Flow;38.45;13.07;17.36;26.34;10.90;14.32;11.24;6.43;11.03;4.80;8.45;10.09;17.36
Price/Book;1.07;2.07;2.98;3.28;3.12;3.39;2.53;1.56;1.68;1.50;2.07;2.22;4.27
Price/Forward Earnings;21.14;23.81;31.85;28.82;20.04;14.68;11.19;8.31;—;—;—;14.05;—
PEG Ratio;1.51;2.38;3.18;2.88;2.01;1.47;1.12;0.83;—;—;—;1.53;—
Earnings Yield %;-0.49;2.59;2.28;3.59;4.62;5.32;6.08;9.45;4.49;8.33;2.23;6.08;—
Enterprise Value (Bil);0.33;0.64;1.06;1.25;1.29;1.55;1.54;1.06;1.11;0.94;1.16;1.27;—
Enterprise Value/EBIT;—;25.07;30.66;21.46;14.47;12.69;13.12;9.50;19.46;9.83;31.92;14.78;—
Enterprise Value/EBITDA;13.67;12.30;17.39;14.41;10.71;10.05;9.14;6.42;10.78;6.44;13.14;9.22;—
