Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;8.78;2.24;4.44;2.82;3.56;7.08;3.22;3.63;4.10;2.34;4.08;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;25.84
Price/Cash Flow;—;—;—;—;—;—;—;—;—;—;—;—;17.36
Price/Book;—;54.92;—;10.82;13.86;26.97;17.73;3.48;6.14;5.22;3.18;11.24;4.27
Price/Forward Earnings;—;—;-3.60;—;—;—;-27.03;-12.18;-59.17;-204.08;71.43;140.14;—
PEG Ratio;—;—;—;—;—;—;—;—;—;—;1.78;—;—
Earnings Yield %;—;-13.73;-9.05;-27.12;-18.81;-2.83;-1.55;-12.77;-4.38;-3.41;-5.92;-5.85;—
Enterprise Value (Mil);—;44.44;13.15;20.14;19.15;40.67;131.13;95.02;164.37;268.61;162.26;123.26;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;-16.82;-39.80;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;—;-21.15;-26.43;—
