Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.41;0.43;0.91;0.94;1.11;1.40;1.42;1.63;1.22;1.24;0.91;1.33;3.07
Price/Earnings;13.88;6.17;14.71;—;20.16;29.56;—;9.92;38.46;—;62.76;36.76;25.84
Price/Cash Flow;2.20;2.34;6.14;3.92;3.76;5.60;5.69;6.24;4.00;3.80;2.65;4.93;17.36
Price/Book;0.96;0.86;1.60;1.41;1.74;2.94;4.68;2.87;2.89;2.61;1.90;3.06;4.27
Price/Forward Earnings;5.39;3.77;7.99;—;—;17.73;20.58;12.95;15.53;—;21.32;—;—
PEG Ratio;0.52;0.36;0.76;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;7.20;16.21;6.80;-3.27;4.96;3.38;-5.36;10.08;2.60;-0.99;-4.94;2.37;—
Enterprise Value (Bil);0.61;0.61;0.90;0.89;0.94;1.35;1.81;1.85;2.85;3.34;3.22;2.26;—
Enterprise Value/EBIT;11.56;7.51;12.90;51.07;14.45;20.68;—;11.72;16.14;55.50;191.69;46.37;—
Enterprise Value/EBITDA;4.24;3.67;5.71;7.35;5.05;6.71;14.85;5.27;6.36;9.17;9.77;12.63;—
