Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;4.19;3.56;5.37;4.50;3.29;4.91;4.50;3.97;5.15;5.43;6.00;4.81;3.01
Price/Earnings;31.67;27.61;40.76;46.60;30.40;47.95;40.71;25.36;41.48;45.18;48.63;39.76;25.53
Price/Cash Flow;27.91;20.57;36.54;31.87;16.66;25.52;24.17;23.02;25.21;27.63;25.45;25.17;17.03
Price/Book;5.28;3.93;5.50;5.46;4.19;5.16;4.40;3.69;4.46;4.55;5.03;4.51;4.19
Price/Forward Earnings;25.91;24.81;30.96;—;24.94;29.15;28.90;26.04;31.55;35.09;39.84;31.54;—
PEG Ratio;1.62;2.07;2.58;—;—;—;3.37;3.71;8.74;7.99;8.29;6.44;—
Earnings Yield %;3.16;3.62;2.45;2.15;3.29;2.09;2.46;3.94;2.41;2.21;2.06;2.57;—
Enterprise Value (Bil);1.07;0.93;1.58;2.37;2.14;2.93;2.78;2.66;3.44;3.85;4.35;3.15;—
Enterprise Value/EBIT;18.82;15.52;24.48;33.18;21.74;33.35;29.52;25.10;32.50;36.50;37.69;31.45;—
Enterprise Value/EBITDA;16.23;13.37;21.13;25.15;15.45;22.12;19.98;17.66;22.85;24.65;26.12;21.55;—
