Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;5.45;6.36;10.44;8.93;6.82;5.46;5.76;4.74;4.02;2.87;4.32;4.49;3.07
Price/Earnings;22.93;25.41;39.27;32.14;20.02;16.03;19.53;19.48;10.56;8.08;17.97;15.03;25.84
Price/Cash Flow;15.97;18.67;33.61;28.01;19.96;15.63;15.00;10.79;8.16;6.25;15.41;11.32;17.36
Price/Book;4.28;4.97;8.13;7.64;6.33;5.05;5.24;4.31;3.69;3.47;4.91;4.45;4.27
Price/Forward Earnings;17.42;20.28;38.76;—;17.04;13.76;13.44;11.25;9.49;9.59;19.01;11.84;—
PEG Ratio;1.94;1.39;2.66;—;1.08;1.58;2.05;1.58;3.32;—;—;3.55;—
Earnings Yield %;4.36;3.94;2.55;3.11;4.99;6.24;5.12;5.13;9.47;12.38;5.57;7.66;—
Enterprise Value (Bil);26.28;34.06;66.10;78.35;67.66;63.92;70.37;60.84;53.62;41.57;57.61;57.73;—
Enterprise Value/EBIT;15.53;18.01;28.76;22.54;13.90;11.74;14.60;9.98;7.66;6.26;14.20;10.13;—
Enterprise Value/EBITDA;12.78;15.09;23.88;18.81;12.37;10.47;11.75;8.70;6.79;5.84;12.66;8.85;—
