Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.59;0.61;0.68;1.22;0.18;0.55;1.15;0.35;0.35;0.60;0.70;0.60;3.01
Price/Earnings;7.95;—;—;58.10;10.05;—;—;19.76;—;—;25.24;24.46;25.53
Price/Cash Flow;18.85;20.89;15.83;29.03;2.97;49.87;23.46;—;—;17.80;32.98;40.90;17.03
Price/Book;0.67;0.79;0.96;2.06;0.36;0.80;2.22;0.77;0.97;1.68;2.80;1.31;4.19
Price/Forward Earnings;15.95;-714.29;238.10;8.37;-10.78;-285.71;23.64;5.15;—;—;6.52;23.94;—
PEG Ratio;2.28;—;3.88;0.14;—;—;—;—;—;—;—;—;—
Earnings Yield %;12.57;-4.59;-4.13;1.72;9.95;-16.94;-9.22;5.06;-20.70;-9.36;-22.87;-11.72;—
Enterprise Value (Bil);0.80;0.85;1.06;2.29;0.52;0.88;1.80;0.84;0.97;1.26;1.45;1.15;—
Enterprise Value/EBIT;5.55;—;—;34.19;5.84;—;—;14.15;—;—;17.01;74.33;—
Enterprise Value/EBITDA;3.87;14.84;19.44;16.70;3.19;—;—;5.68;—;88.80;102.56;1.76;—
