Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.19;1.70;2.53;3.01;2.61;2.82;3.06;2.43;1.68;0.90;1.21;2.11;3.07
Price/Earnings;19.93;14.00;73.00;299.00;75.14;—;—;—;—;—;—;280.67;25.84
Price/Cash Flow;15.90;11.65;32.52;28.60;12.49;84.06;163.34;—;13.45;8.28;7.63;344.27;17.36
Price/Book;1.29;0.93;1.13;1.26;1.11;1.19;1.78;1.60;1.52;0.92;1.02;1.35;4.27
Price/Forward Earnings;12.47;12.21;40.16;—;—;—;—;—;—;—;50.00;—;—
PEG Ratio;0.17;0.41;1.34;—;—;—;—;—;—;—;1.66;—;—
Earnings Yield %;5.02;7.14;1.37;0.33;1.33;0.00;-6.79;-5.80;-6.21;-5.42;-10.34;-5.88;—
Enterprise Value (Mil);42.65;12.86;31.59;48.09;35.10;42.55;73.83;57.56;69.36;37.50;39.92;54.89;—
Enterprise Value/EBIT;4.04;1.41;14.80;116.14;16.56;—;—;—;—;—;-10.28;29.92;—
Enterprise Value/EBITDA;3.67;1.28;9.61;22.04;7.97;19.06;—;—;—;—;2,643.75;-8.18;—
