Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.47;3.16;5.12;2.35;1.78;1.71;2.48;2.79;4.62;13.10;11.60;4.58;3.07
Price/Earnings;24.22;70.79;73.55;37.91;—;2,639.00;—;—;—;—;—;2,467.00;25.84
Price/Cash Flow;11.94;13.29;27.81;15.00;13.53;15.28;14.42;29.21;35.20;—;78.17;24.10;17.36
Price/Book;1.02;1.50;2.64;1.21;1.13;1.10;1.68;2.01;2.47;6.16;4.93;2.55;4.27
Price/Forward Earnings;12.61;21.10;39.53;36.36;27.47;62.89;185.19;66.67;-153.85;-126.58;—;97.68;—
PEG Ratio;0.62;0.59;1.49;1.43;0.98;—;—;3.34;—;—;—;—;—
Earnings Yield %;4.13;1.41;1.36;2.64;-3.34;0.04;-3.26;-6.36;-1.95;-2.94;-2.20;-3.39;—
Enterprise Value (Bil);1.93;3.08;6.51;2.54;2.27;2.17;3.23;4.20;4.47;11.42;10.61;4.91;—
Enterprise Value/EBIT;17.68;51.48;54.64;22.56;—;—;—;—;—;—;-56.92;-55.37;—
Enterprise Value/EBITDA;8.55;14.62;23.64;9.08;16.39;14.22;27.59;42.94;54.20;—;271.10;37.75;—
