Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.37;1.17;1.20;0.90;0.73;0.48;0.92;1.70;2.50;3.49;4.97;1.58;3.01
Price/Earnings;12.11;9.99;19.18;—;—;—;—;103.92;—;28.88;19.49;49.12;25.53
Price/Cash Flow;12.18;10.24;12.31;—;1,357.89;15.90;10.20;17.52;29.10;24.64;20.35;17.63;17.03
Price/Book;2.71;2.07;2.04;1.70;2.24;1.84;3.72;9.67;24.31;18.11;22.88;10.24;4.19
Price/Forward Earnings;9.92;8.56;13.66;14.51;—;—;—;—;22.52;21.93;21.55;—;—
PEG Ratio;0.40;0.79;1.26;1.34;—;—;—;—;—;—;—;—;—
Earnings Yield %;8.26;10.01;5.21;-3.04;-8.98;-12.24;-2.53;0.96;-0.50;3.46;5.13;-1.73;—
Enterprise Value (Bil);1.11;1.00;1.09;0.82;0.76;0.54;0.89;1.89;3.14;4.35;7.76;1.98;—
Enterprise Value/EBIT;8.19;6.80;10.97;53.56;—;—;90.63;37.78;29.54;27.63;24.47;1.13;—
Enterprise Value/EBITDA;6.36;5.44;7.76;14.33;—;657.67;20.57;23.61;23.88;23.59;22.43;66.98;—
