Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;5.53;7.08;6.79;4.10;3.11;3.77;3.67;3.78;3.05;3.74;4.98;3.72;3.07
Price/Earnings;73.66;72.57;61.36;48.31;—;297.24;1,312.50;—;—;—;514.25;1,101.51;25.84
Price/Cash Flow;28.16;33.43;30.87;18.26;20.70;24.33;28.96;27.63;17.25;33.91;29.07;26.80;17.36
Price/Book;10.75;10.04;8.23;5.53;4.42;5.27;4.56;6.49;5.58;6.18;9.03;6.01;4.27
Price/Forward Earnings;38.31;56.18;42.02;45.66;63.29;—;42.02;25.25;—;—;33.00;38.74;—
PEG Ratio;1.74;1.87;2.10;2.29;3.17;—;—;—;—;—;—;—;—
Earnings Yield %;1.36;1.38;1.63;2.07;-0.23;0.34;0.08;-2.56;-0.16;-1.17;-0.85;-0.63;—
Enterprise Value (Bil);1.64;2.81;3.06;1.90;1.39;1.89;1.93;2.22;1.62;2.22;3.19;2.08;—
Enterprise Value/EBIT;35.13;38.03;33.65;23.04;—;185.34;—;1,076.63;163.04;193.13;76.01;-410.17;—
Enterprise Value/EBITDA;32.21;35.74;31.70;21.32;126.80;91.42;318.45;154.81;73.68;66.76;55.12;150.02;—
