Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.52;1.28;1.43;1.52;1.32;1.38;1.41;1.37;2.30;3.14;2.95;1.79;3.07
Price/Earnings;13.83;34.02;46.20;25.06;24.71;128.35;47.78;38.40;21.43;31.90;33.68;80.79;25.84
Price/Cash Flow;10.68;12.67;11.86;9.55;9.04;13.48;9.21;8.06;12.14;20.75;19.91;11.48;17.36
Price/Book;1.60;1.18;1.55;1.75;1.37;1.55;1.65;1.78;2.80;2.60;3.55;2.07;4.27
Price/Forward Earnings;18.45;19.01;17.09;15.58;15.22;19.31;15.02;10.68;—;21.98;23.47;17.34;—
PEG Ratio;1.27;1.27;1.14;1.04;—;—;—;—;—;—;—;—;—
Earnings Yield %;7.23;2.94;2.16;3.99;4.05;0.78;2.09;2.60;4.67;3.13;2.97;3.01;—
Enterprise Value (Bil);0.85;0.69;1.08;1.21;0.99;1.42;1.53;1.64;2.80;2.95;3.69;2.01;—
Enterprise Value/EBIT;8.71;21.90;24.23;16.73;12.46;52.41;26.20;11.85;14.73;19.23;23.25;23.15;—
Enterprise Value/EBITDA;8.71;7.24;24.23;16.73;11.37;31.23;19.71;10.45;9.35;11.28;13.66;14.53;—
