Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.93;1.16;1.85;2.32;1.77;1.81;1.71;0.95;1.46;1.32;1.52;1.49;3.07
Price/Earnings;8.74;25.82;36.43;40.49;20.72;27.85;23.41;4.99;13.91;13.15;10.97;15.44;25.84
Price/Cash Flow;4.89;8.19;16.46;14.06;9.31;11.60;8.74;5.11;7.44;5.57;7.14;7.78;17.36
Price/Book;124.97;446.63;37.81;21.77;9.28;6.27;4.01;1.42;1.82;1.34;1.64;3.00;4.27
Price/Forward Earnings;10.55;14.14;27.32;40.82;32.89;20.62;19.08;10.45;26.39;12.45;12.56;17.39;—
PEG Ratio;2.17;—;4.70;—;—;—;—;—;4.87;1.32;1.22;—;—
Earnings Yield %;11.45;3.87;2.75;2.47;4.83;3.59;4.27;20.02;7.19;7.61;9.11;8.00;—
Enterprise Value (Bil);17.73;21.12;30.32;37.71;38.66;38.42;36.75;24.96;31.18;28.38;34.52;32.11;—
Enterprise Value/EBIT;6.16;14.37;18.13;19.55;16.86;22.93;19.69;12.30;16.17;13.27;10.50;16.28;—
Enterprise Value/EBITDA;4.65;8.61;11.20;12.63;11.57;14.61;13.34;9.03;12.20;10.03;8.58;11.56;—
