Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;8.55;9.35;17.59;18.06;18.10;9.28;7.36;11.62;14.63;19.46;21.49;13.73;3.07
Price/Earnings;—;—;—;—;—;—;—;249.58;—;151.52;83.77;—;25.84
Price/Cash Flow;—;—;—;208.75;139.59;91.28;76.73;81.30;96.67;79.21;86.83;95.72;17.36
Price/Book;5.56;12.27;34.37;37.00;34.62;19.29;13.00;19.18;26.22;23.70;22.39;22.48;4.27
Price/Forward Earnings;-20.28;-24.57;-185.19;-3,333.33;2,000.00;833.33;-149.25;833.33;123.46;120.48;196.08;309.69;—
PEG Ratio;—;—;—;—;—;—;—;—;—;2.67;12.82;—;—
Earnings Yield %;-7.09;-5.81;-1.41;-0.67;-0.89;-1.12;-0.96;0.40;-0.89;0.66;1.19;-0.41;—
Enterprise Value (Bil);0.53;0.90;2.53;4.19;6.58;4.92;4.79;10.46;19.72;34.74;41.85;16.25;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;133.75;—;110.86;131.66;-126.16;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;101.65;—;92.80;106.52;-44.87;—
