Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.24;2.54;3.56;2.42;1.36;2.15;2.29;2.56;2.10;1.20;1.27;2.01;3.07
Price/Earnings;21.10;16.81;23.63;21.69;29.87;31.31;42.50;20.79;25.51;—;22.22;29.33;25.84
Price/Cash Flow;10.98;12.23;16.09;17.37;8.14;15.08;16.50;15.90;14.28;11.19;12.05;14.42;17.36
Price/Book;3.57;3.85;6.15;3.47;3.14;3.91;3.77;3.92;4.72;1.67;1.94;3.26;4.27
Price/Forward Earnings;17.42;15.53;20.70;19.38;17.92;25.84;24.57;22.47;27.93;32.36;54.05;29.18;—
PEG Ratio;1.09;2.21;2.41;1.21;2.90;2.19;1.34;—;—;—;—;2.14;—
Earnings Yield %;4.74;5.95;4.23;4.61;3.35;3.19;2.35;4.81;3.92;-26.95;-8.00;-2.79;—
Enterprise Value (Bil);0.40;0.47;0.83;1.27;1.14;1.34;1.38;1.64;2.17;1.92;1.94;1.65;—
Enterprise Value/EBIT;13.84;11.13;17.76;18.81;16.87;17.27;22.84;22.59;25.54;—;25.80;21.74;—
Enterprise Value/EBITDA;9.12;8.17;13.24;13.53;10.42;11.87;14.03;14.89;16.56;—;52.46;16.49;—
