Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;3.69;3.87;5.90;11.11;7.52;16.99;13.68;9.59;3.07
Price/Earnings;—;—;—;—;—;—;157.31;72.08;53.37;96.69;55.03;—;25.84
Price/Cash Flow;—;—;—;—;48.41;34.54;49.78;45.38;24.43;45.58;35.12;41.67;17.36
Price/Book;—;—;—;—;2.88;3.97;7.15;14.44;13.47;33.58;36.73;15.78;4.27
Price/Forward Earnings;—;—;—;—;625.00;81.30;65.79;67.11;45.25;80.65;69.93;71.39;—
PEG Ratio;—;—;—;—;62.11;8.12;6.00;4.47;2.21;3.94;3.41;4.74;—
Earnings Yield %;—;—;—;—;-5.91;-0.68;0.64;1.39;1.87;1.03;1.82;0.70;—
Enterprise Value (Bil);—;—;—;—;0.71;1.16;2.25;5.45;5.26;21.97;24.80;7.49;—
Enterprise Value/EBIT;—;—;—;—;—;54.92;280.81;78.55;51.89;79.71;45.30;97.85;—
Enterprise Value/EBITDA;—;—;—;—;—;28.10;63.32;57.33;37.11;65.39;41.09;56.23;—
