Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.83;1.11;2.21;0.59;0.75;1.00;2.03;0.70;0.86;0.89;1.45;1.08;3.07
Price/Earnings;146.00;18.20;—;—;—;—;1,252.00;—;—;—;—;1,346.67;25.84
Price/Cash Flow;23.41;19.32;24.38;—;9.63;15.70;20.42;20.26;12.42;13.61;14.26;18.55;17.36
Price/Book;1.66;1.81;3.46;2.45;4.28;5.99;10.53;6.08;9.30;85.91;40.22;20.48;4.27
Price/Forward Earnings;7.12;12.74;20.00;41.49;20.41;14.37;18.98;11.96;—;—;12.30;13.90;—
PEG Ratio;0.59;0.64;1.33;2.77;2.04;0.85;1.36;0.85;—;—;—;1.08;—
Earnings Yield %;0.68;5.49;-0.58;-22.65;-15.44;-5.17;0.08;-8.69;-6.11;-11.90;-2.23;-7.39;—
Enterprise Value (Bil);0.20;0.22;0.47;0.37;0.40;0.49;1.43;0.76;1.16;1.11;1.61;0.97;—
Enterprise Value/EBIT;56.87;10.62;—;—;—;—;116.04;—;—;—;776.46;-598.20;—
Enterprise Value/EBITDA;16.10;8.01;106.62;—;—;22.48;39.78;73.17;61.94;—;26.83;58.03;—
