Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.53;1.06;0.62;0.65;0.34;0.79;0.89;0.55;0.45;0.32;0.45;0.60;3.07
Price/Earnings;10.85;7.66;11.03;13.35;—;—;19.68;11.20;136.40;—;37.38;56.43;25.84
Price/Cash Flow;8.95;7.96;4.97;7.15;3.42;9.00;12.80;5.04;3.69;5.40;7.11;7.08;17.36
Price/Book;2.00;1.18;0.69;0.72;0.40;0.97;1.00;0.57;0.51;0.41;0.50;0.69;4.27
Price/Forward Earnings;7.56;5.52;5.20;6.01;—;—;—;—;—;—;5.17;—;—
PEG Ratio;0.48;0.55;0.52;0.60;—;—;—;—;—;—;0.52;—;—
Earnings Yield %;9.22;13.17;9.07;7.49;-21.84;-1.41;5.08;8.93;0.73;-25.89;-6.02;-2.88;—
Enterprise Value (Bil);1.32;1.27;0.85;0.94;0.60;0.79;0.78;0.56;0.46;0.42;0.44;0.62;—
Enterprise Value/EBIT;6.94;5.86;6.03;9.64;—;47.14;11.04;6.59;12.55;—;14.61;13.45;—
Enterprise Value/EBITDA;6.33;5.19;4.83;6.91;—;17.45;8.28;5.07;7.04;14.41;5.95;9.17;—
