Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.18;2.47;2.79;2.34;1.49;1.71;1.85;1.86;1.90;1.69;2.02;1.88;3.07
Price/Earnings;15.81;18.18;21.18;19.33;15.73;32.19;26.66;19.29;22.21;23.12;29.55;25.33;25.84
Price/Cash Flow;14.17;16.60;16.92;15.94;11.42;20.56;15.88;13.46;15.05;11.99;14.84;15.60;17.36
Price/Book;3.57;4.10;4.62;3.70;2.40;1.59;2.16;2.41;2.55;2.31;2.44;2.43;4.27
Price/Forward Earnings;13.02;15.63;17.06;—;—;17.04;21.14;16.95;18.73;18.87;26.95;20.63;—
PEG Ratio;0.67;0.82;0.90;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;6.33;5.50;4.72;5.17;6.36;3.11;3.75;5.18;4.50;4.33;3.38;4.08;—
Enterprise Value (Bil);1.01;1.51;1.92;1.76;1.25;2.70;3.52;3.70;4.25;3.60;3.91;3.66;—
Enterprise Value/EBIT;9.32;12.15;14.91;13.92;11.05;32.42;18.01;16.37;16.96;17.81;22.67;19.75;—
Enterprise Value/EBITDA;8.44;11.00;13.37;12.27;9.53;25.78;13.92;13.62;14.57;14.73;18.22;16.09;—
