Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.61;0.50;0.35;0.21;0.26;0.34;0.53;0.32;0.54;0.85;2.03;0.54;3.07
Price/Earnings;12.52;2.32;—;—;—;—;—;—;—;—;249.75;589.25;25.84
Price/Cash Flow;1.87;—;7.39;3.40;4.76;5.83;10.15;7.62;9.93;13.90;12.93;9.41;17.36
Price/Book;0.99;0.79;0.66;0.39;0.55;1.01;1.61;0.90;1.51;2.01;3.53;1.44;4.27
Price/Forward Earnings;7.97;13.53;18.55;—;—;—;—;33.67;55.87;7.86;62.11;—;—
PEG Ratio;—;0.90;1.24;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;7.98;43.19;-4.64;-47.86;-33.53;-8.19;-4.88;-15.84;-3.88;-8.40;0.40;-9.59;—
Enterprise Value (Mil);62.87;112.59;93.39;76.99;92.09;133.90;166.92;133.76;191.89;203.81;569.87;176.98;—
Enterprise Value/EBIT;3.23;2.35;33.85;—;—;32.52;24.37;64.34;27.31;139.59;49.43;59.12;—
Enterprise Value/EBITDA;2.49;2.05;7.91;—;11.95;11.56;10.83;12.68;12.47;21.69;30.07;15.90;—
