Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.20;0.33;0.49;0.72;0.43;0.61;0.61;0.70;0.76;1.09;1.08;0.80;3.07
Price/Earnings;24.44;18.35;22.54;37.45;24.27;28.16;15.51;22.65;26.36;26.53;19.18;23.74;25.84
Price/Cash Flow;6.80;5.89;15.98;12.25;10.96;11.39;9.85;11.48;12.89;10.68;9.19;11.89;17.36
Price/Book;1.01;1.39;2.12;2.98;2.35;3.09;2.60;2.65;2.85;4.30;4.32;2.95;4.27
Price/Forward Earnings;10.00;12.63;17.15;17.36;18.35;22.08;22.78;31.35;22.83;23.09;16.64;24.51;—
PEG Ratio;0.63;0.79;1.07;1.08;—;—;2.85;3.14;—;—;—;—;—
Earnings Yield %;4.09;5.45;4.44;2.67;4.12;3.55;6.45;4.42;3.79;3.77;5.21;4.66;—
Enterprise Value (Bil);0.22;0.23;0.41;0.59;0.73;0.93;0.79;0.86;1.08;1.99;2.18;1.03;—
Enterprise Value/EBIT;15.85;8.97;16.66;24.59;19.17;22.14;12.07;22.41;22.57;22.42;14.32;17.16;—
Enterprise Value/EBITDA;6.33;5.20;9.44;13.37;10.40;12.48;7.98;12.17;13.90;16.24;11.28;10.84;—
