Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;9.20;30.34;6.25;22.12;4.61;5.73;7.16;2.83;8.32;—;10.06;14.42;3.07
Price/Earnings;4.63;174.00;6.83;50.00;4.65;6.27;8.27;3.00;12.05;—;11.54;7.01;25.84
Price/Cash Flow;—;—;17.60;—;—;5.51;30.25;—;4.24;—;7.02;9.17;17.36
Price/Book;0.77;0.80;0.88;0.82;0.85;0.88;1.10;0.76;1.07;0.93;1.28;0.97;4.27
Price/Forward Earnings;10.98;14.22;6.14;—;—;—;—;—;16.78;16.53;17.79;—;—
PEG Ratio;—;—;—;—;—;—;—;—;—;—;5.93;—;—
Earnings Yield %;21.60;0.57;14.64;2.00;21.51;15.96;12.10;33.37;8.30;-5.35;8.67;12.29;—
Enterprise Value (Mil);171.72;225.07;254.19;278.18;340.77;324.69;424.79;426.70;486.96;456.73;641.82;423.59;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;3.73;22.18;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;—;3.73;9.82;—
