Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.42;1.48;1.76;1.75;1.78;1.88;2.21;1.49;0.96;1.18;1.38;1.50;3.07
Price/Earnings;32.76;35.74;36.37;193.31;38.74;43.52;44.30;41.42;23.61;23.22;22.90;34.01;25.84
Price/Cash Flow;28.75;26.35;60.12;45.90;29.08;58.89;589.65;37.94;21.17;13.55;11.38;99.87;17.36
Price/Book;5.44;6.89;7.06;8.17;8.45;8.59;9.92;7.07;3.96;4.50;4.79;6.61;4.27
Price/Forward Earnings;25.71;30.40;32.05;31.35;31.06;32.47;—;23.64;20.12;22.32;25.45;26.32;—
PEG Ratio;1.71;1.69;1.78;1.74;—;—;—;—;—;—;—;—;—
Earnings Yield %;3.05;2.80;2.75;0.52;2.58;2.30;2.26;2.41;4.24;4.31;4.37;3.26;—
Enterprise Value (Bil);1.11;1.49;1.98;2.13;2.41;2.74;3.81;2.89;1.70;1.90;2.12;2.56;—
Enterprise Value/EBIT;19.94;22.13;25.74;150.51;24.14;28.02;30.65;30.66;17.96;15.56;15.53;23.57;—
Enterprise Value/EBITDA;18.56;20.57;23.92;100.66;22.42;26.00;28.75;27.83;15.85;13.93;14.06;21.63;—
