Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.69;0.63;1.06;0.94;0.58;0.82;1.48;0.62;0.89;0.89;1.01;0.86;3.07
Price/Earnings;—;18.38;25.99;18.60;12.58;22.57;39.85;5.32;13.37;271.00;141.22;39.38;25.84
Price/Cash Flow;9.58;12.85;15.05;5.06;3.57;4.23;6.47;3.53;3.80;3.27;3.94;3.96;17.36
Price/Book;1.84;10.89;13.07;7.88;4.43;5.93;10.36;3.04;4.08;4.11;5.02;4.78;4.27
Price/Forward Earnings;22.27;13.21;17.86;14.03;12.39;23.04;31.55;9.03;12.79;20.53;23.20;17.67;—
PEG Ratio;1.11;0.60;0.81;0.64;—;—;—;—;—;—;—;—;—
Earnings Yield %;-0.30;5.44;3.85;5.38;7.95;4.43;2.51;18.81;7.48;0.37;0.71;6.46;—
Enterprise Value (Bil);0.73;1.20;1.80;1.84;1.49;1.66;2.26;1.89;2.60;2.20;2.26;2.03;—
Enterprise Value/EBIT;27.76;15.03;16.22;13.35;10.85;14.27;21.80;11.97;13.56;30.52;31.92;20.07;—
Enterprise Value/EBITDA;5.91;6.12;7.36;6.21;4.63;5.44;7.62;4.96;5.65;6.36;6.79;5.77;—
