Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;3.00;3.31;5.36;4.68;4.00;5.61;5.66;2.20;2.61;3.44;4.14;3.69;3.07
Price/Earnings;15.94;18.11;29.59;24.77;22.19;42.52;54.36;31.02;23.47;76.13;45.92;45.63;25.84
Price/Cash Flow;13.10;12.98;21.86;18.21;14.78;26.70;38.30;18.10;17.58;14.66;22.82;22.04;17.36
Price/Book;4.27;4.38;5.90;5.43;3.87;4.50;6.52;2.02;2.65;2.91;3.98;3.53;4.27
Price/Forward Earnings;17.61;17.61;25.32;—;—;—;—;—;—;—;—;—;—
PEG Ratio;1.17;1.17;1.69;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;6.27;5.52;3.38;4.04;4.51;2.35;1.84;3.22;4.26;1.31;2.18;2.68;—
Enterprise Value (Bil);0.53;0.61;0.99;0.93;0.73;0.93;1.78;1.41;1.79;1.94;2.91;1.59;—
Enterprise Value/EBIT;9.96;11.18;18.57;14.89;13.54;25.04;30.33;22.69;18.26;39.30;35.72;27.66;—
Enterprise Value/EBITDA;8.84;9.88;16.35;13.14;11.53;19.72;23.12;14.75;13.26;22.99;22.74;18.75;—
