Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.69;0.59;0.78;0.83;0.96;0.78;0.74;0.84;0.87;0.87;1.32;0.82;3.07
Price/Earnings;—;44.88;83.92;56.22;30.58;28.08;—;—;13.43;—;133.19;27.89;25.84
Price/Cash Flow;7.71;22.13;8.36;7.87;13.04;15.93;12.31;7.51;7.04;13.83;18.52;11.69;17.36
Price/Book;1.50;1.11;1.48;1.69;1.97;1.69;1.84;2.33;2.10;2.18;3.10;2.06;4.27
Price/Forward Earnings;15.55;16.61;20.75;34.36;20.16;21.55;18.59;13.99;13.14;15.08;14.86;17.90;—
PEG Ratio;1.49;1.11;1.38;2.29;1.34;1.44;—;—;1.31;—;—;1.41;—
Earnings Yield %;-6.41;2.23;1.19;1.78;3.27;3.56;-1.96;-0.45;7.45;-5.79;-3.73;1.58;—
Enterprise Value (Mil);249.51;156.98;269.43;291.89;371.33;348.79;355.47;426.97;511.49;435.31;788.64;435.22;—
Enterprise Value/EBIT;8.52;7.68;19.23;12.20;11.40;10.62;9.10;7.04;7.30;8.48;14.31;8.54;—
Enterprise Value/EBITDA;6.44;5.02;9.36;7.39;7.98;7.23;6.45;5.79;6.32;5.86;9.22;6.42;—
