Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;—;—;3.28;4.09;—;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;92.03;14.28;—;25.84
Price/Cash Flow;—;—;—;—;—;—;—;—;—;17.67;78.19;—;17.36
Price/Book;—;—;—;—;—;—;—;—;—;2.71;1.98;—;4.27
Price/Forward Earnings;—;—;—;—;—;—;—;—;—;-212.77;64.10;—;—
PEG Ratio;—;—;—;—;—;—;—;—;—;—;2.50;—;—
Earnings Yield %;—;—;—;—;—;—;—;—;—;1.09;7.00;—;—
Enterprise Value (Bil);—;—;—;—;—;—;—;—;—;13.72;10.36;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;41.68;39.79;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;23.25;22.72;—;—
